"Table 4. Perceptions of Great Risk from Smoking Marijuana Once a Month, by Age Group and State: Percentages, Annual Averages Based on 2015 and 2016 NSDUHs  ",,,,,,,,,,,,,,,,
"NOTE: State and census region estimates, along with the 95 percent Bayesian confidence (credible) intervals, are based on a survey-weighted hierarchical Bayes estimation approach and generated by Markov Chain Monte Carlo techniques. For the ""Total U.S."" row, design-based (direct) estimates and corresponding 95 percent confidence intervals are given.",,,,,,,,,,,,,,,,
"NOTE: The column labeled ""Order"" can be used to sort the data to the original sort order.",,,,,,,,,,,,,,,,
"Source: SAMHSA, Center for Behavioral Health Statistics and Quality, National Survey on Drug Use and Health, 2015 and 2016.",,,,,,,,,,,,,,,,
Order,State,"12 or Older Estimate","12 or Older 95% CI (Lower)","12 or Older 95% CI (Upper)","12-17 Estimate","12-17 95% CI (Lower)","12-17 95% CI (Upper)","18-25 Estimate","18-25 95% CI (Lower)","18-25 95% CI (Upper)","26 or Older Estimate","26 or Older 95% CI (Lower)","26 or Older 95% CI (Upper)","18 or Older Estimate","18 or Older 95% CI (Lower)","18 or Older 95% CI (Upper)"
1,Total U.S.,28.41%,27.96%,28.86%,27.17%,26.51%,27.83%,14.32%,13.83%,14.83%,30.92%,30.36%,31.49%,28.54%,28.05%,29.03%
2,Northeast,26.44%,25.56%,27.35%,26.85%,25.65%,28.08%,12.56%,11.69%,13.49%,28.67%,27.61%,29.75%,26.40%,25.45%,27.37%
3,Midwest,25.56%,24.80%,26.32%,26.44%,25.46%,27.45%,12.50%,11.74%,13.30%,27.67%,26.78%,28.58%,25.46%,24.65%,26.29%
4,South,32.09%,31.41%,32.78%,29.75%,28.78%,30.74%,16.68%,15.91%,17.48%,34.94%,34.13%,35.75%,32.34%,31.60%,33.08%
5,West,26.59%,25.76%,27.43%,23.90%,22.74%,25.09%,13.58%,12.65%,14.55%,29.16%,28.16%,30.18%,26.87%,25.97%,27.78%
6,Alabama,34.79%,32.20%,37.47%,34.45%,30.79%,38.30%,17.52%,14.86%,20.54%,37.71%,34.62%,40.90%,34.82%,32.07%,37.68%
7,Alaska,18.17%,16.20%,20.33%,18.88%,15.95%,22.21%,11.95%,9.74%,14.58%,19.24%,16.90%,21.82%,18.09%,16.00%,20.40%
8,Arizona,28.75%,26.32%,31.31%,27.10%,23.80%,30.66%,14.64%,12.12%,17.57%,31.37%,28.49%,34.41%,28.92%,26.35%,31.64%
9,Arkansas,31.41%,28.82%,34.12%,31.12%,27.72%,34.74%,16.91%,14.20%,20.01%,33.88%,30.77%,37.13%,31.44%,28.68%,34.33%
10,California,29.38%,28.17%,30.63%,23.78%,21.96%,25.71%,14.32%,12.91%,15.85%,32.71%,31.22%,34.24%,29.96%,28.65%,31.30%
11,Colorado,17.44%,15.42%,19.66%,17.87%,14.96%,21.20%,8.33%,6.55%,10.53%,18.94%,16.57%,21.56%,17.39%,15.28%,19.74%
12,Connecticut,23.76%,21.29%,26.41%,24.73%,21.30%,28.51%,11.29%,9.15%,13.85%,25.69%,22.77%,28.84%,23.66%,21.05%,26.47%
