"Table 10. Perceptions of Great Risk from Trying Heroin Once or Twice, by Age Group and State: Percentages, Annual Averages Based on 2015 and 2016 NSDUHs  ",,,,,,,,,,,,,,,,
"NOTE: State and census region estimates, along with the 95 percent Bayesian confidence (credible) intervals, are based on a survey-weighted hierarchical Bayes estimation approach and generated by Markov Chain Monte Carlo techniques. For the ""Total U.S."" row, design-based (direct) estimates and corresponding 95 percent confidence intervals are given.",,,,,,,,,,,,,,,,
"NOTE: The column labeled ""Order"" can be used to sort the data to the original sort order.",,,,,,,,,,,,,,,,
"Source: SAMHSA, Center for Behavioral Health Statistics and Quality, National Survey on Drug Use and Health, 2015 and 2016.",,,,,,,,,,,,,,,,
Order,State,"12 or Older Estimate","12 or Older 95% CI (Lower)","12 or Older 95% CI (Upper)","12-17 Estimate","12-17 95% CI (Lower)","12-17 95% CI (Upper)","18-25 Estimate","18-25 95% CI (Lower)","18-25 95% CI (Upper)","26 or Older Estimate","26 or Older 95% CI (Lower)","26 or Older 95% CI (Upper)","18 or Older Estimate","18 or Older 95% CI (Lower)","18 or Older 95% CI (Upper)"
1,Total U.S.,85.44%,85.15%,85.73%,65.41%,64.74%,66.08%,82.80%,82.25%,83.34%,88.23%,87.89%,88.56%,87.45%,87.15%,87.75%
2,Northeast,85.10%,84.50%,85.68%,66.03%,64.74%,67.31%,82.74%,81.72%,83.72%,87.53%,86.83%,88.20%,86.86%,86.23%,87.46%
3,Midwest,85.53%,85.05%,86.00%,65.34%,64.29%,66.37%,82.49%,81.67%,83.27%,88.46%,87.89%,89.01%,87.60%,87.08%,88.09%
4,South,86.73%,86.33%,87.12%,66.78%,65.82%,67.72%,83.73%,82.99%,84.45%,89.61%,89.15%,90.05%,88.78%,88.36%,89.18%
5,West,83.57%,82.98%,84.14%,62.86%,61.60%,64.11%,81.68%,80.66%,82.67%,86.36%,85.67%,87.03%,85.68%,85.05%,86.28%
6,Alabama,88.18%,86.68%,89.53%,67.66%,63.97%,71.13%,85.75%,83.18%,87.97%,91.00%,89.27%,92.48%,90.25%,88.68%,91.63%
7,Alaska,82.71%,80.73%,84.53%,62.05%,58.13%,65.82%,81.64%,78.53%,84.39%,85.62%,83.25%,87.70%,85.00%,82.87%,86.91%
8,Arizona,84.64%,82.81%,86.31%,65.29%,61.74%,68.68%,82.60%,79.63%,85.21%,87.36%,85.18%,89.27%,86.67%,84.69%,88.43%
9,Arkansas,86.48%,84.89%,87.93%,66.62%,63.22%,69.84%,85.07%,82.34%,87.44%,89.14%,87.24%,90.79%,88.56%,86.85%,90.07%
10,California,84.00%,83.10%,84.87%,62.70%,60.67%,64.69%,82.06%,80.39%,83.61%,86.88%,85.80%,87.89%,86.16%,85.19%,87.07%
