"Table 26. Serious Mental Illness in the Past Year, by Age Group and State: Percentages, Annual Averages Based on 2015 and 2016 NSDUHs  ",,,,,,,,,,
"NOTE: Serious mental illness (SMI) is defined as having a diagnosable mental, behavioral, or emotional disorder, other than a developmental or substance use disorder, assessed by the Mental Health Surveillance Study (MHSS) Structured Clinical Interview for the Diagnostic and Statistical Manual of Mental Disorders—Fourth Edition—Research Version—Axis I Disorders (MHSS-SCID), which is based on the 4th edition of the Diagnostic and Statistical Manual of Mental Disorders (DSM-IV). SMI includes individuals with diagnosis resulting in serious functional impairment. For details, see Section B of the ""2015-2016 NSDUH: Guide to State Tables and Summary of Small Area Estimation Methodology"" at https://www.samhsa.gov/data/.",,,,,,,,,,
"NOTE: State and census region estimates, along with the 95 percent Bayesian confidence (credible) intervals, are based on a survey-weighted hierarchical Bayes estimation approach and generated by Markov Chain Monte Carlo techniques. For the ""Total U.S."" row, design-based (direct) estimates and corresponding 95 percent confidence intervals are given.",,,,,,,,,,
"NOTE: The column labeled ""Order"" can be used to sort the data to the original sort order.",,,,,,,,,,
"Source: SAMHSA, Center for Behavioral Health Statistics and Quality, National Survey on Drug Use and Health, 2015 and 2016.",,,,,,,,,,
Order,State,"18 or Older Estimate","18 or Older 95% CI (Lower)","18 or Older 95% CI (Upper)","18-25 Estimate","18-25 95% CI (Lower)","18-25 95% CI (Upper)","26 or Older Estimate","26 or Older 95% CI (Lower)","26 or Older 95% CI (Upper)"
1,Total U.S.,4.13%,3.97%,4.30%,5.46%,5.15%,5.78%,3.91%,3.73%,4.10%
2,Northeast,4.07%,3.76%,4.40%,5.56%,5.05%,6.12%,3.83%,3.49%,4.20%
3,Midwest,4.37%,4.11%,4.66%,5.94%,5.47%,6.44%,4.11%,3.82%,4.43%
4,South,4.05%,3.81%,4.30%,5.03%,4.65%,5.44%,3.89%,3.63%,4.16%
5,West,4.09%,3.79%,4.41%,5.62%,5.08%,6.21%,3.82%,3.50%,4.18%
6,Alabama,4.23%,3.44%,5.20%,5.07%,3.98%,6.45%,4.09%,3.23%,5.18%
7,Alaska,4.53%,3.72%,5.50%,7.17%,5.67%,9.03%,4.04%,3.19%,5.12%
8,Arizona,4.04%,3.29%,4.96%,5.52%,4.27%,7.12%,3.79%,2.99%,4.80%
9,Arkansas,5.45%,4.48%,6.61%,5.98%,4.67%,7.61%,5.36%,4.29%,6.67%
10,California,3.61%,3.19%,4.08%,5.05%,4.29%,5.94%,3.36%,2.90%,3.89%
11,Colorado,4.61%,3.79%,5.59%,6.65%,5.18%,8.50%,4.27%,3.40%,5.34%
12,Connecticut,3.59%,2.89%,4.45%,5.44%,4.18%,7.06%,3.28%,2.55%,4.23%
13,Delaware,4.23%,3.42%,5.22%,5.91%,4.62%,7.53%,3.97%,3.10%,5.07%
14,District of Columbia,3.92%,3.20%,4.78%,5.38%,4.11%,7.01%,3.61%,2.85%,4.56%
15,Florida,3.56%,3.06%,4.14%,5.06%,4.25%,6.02%,3.35%,2.80%,3.99%
16,Georgia,4.17%,3.45%,5.02%,4.49%,3.51%,5.71%,4.11%,3.32%,5.08%
17,Hawaii,3.18%,2.51%,4.03%,4.70%,3.58%,6.14%,2.96%,2.24%,3.89%
18,Idaho,4.98%,4.11%,6.02%,6.70%,5.27%,8.49%,4.69%,3.74%,5.86%
19,Illinois,3.74%,3.18%,4.39%,5.20%,4.26%,6.33%,3.49%,2.89%,4.22%
20,Indiana,4.93%,4.06%,5.99%,6.49%,5.11%,8.21%,4.66%,3.70%,5.84%
21,Iowa,3.93%,3.19%,4.84%,5.59%,4.33%,7.20%,3.63%,2.83%,4.65%
22,Kansas,4.37%,3.60%,5.29%,5.91%,4.63%,7.52%,4.09%,3.26%,5.11%
23,Kentucky,5.25%,4.33%,6.35%,5.89%,4.57%,7.57%,5.14%,4.14%,6.38%
24,Louisiana,4.53%,3.69%,5.55%,4.97%,3.82%,6.44%,4.45%,3.53%,5.60%
25,Maine,4.35%,3.53%,5.35%,5.62%,4.33%,7.26%,4.18%,3.30%,5.28%
