"Table 27. Any Mental Illness in the Past Year, by Age Group and State: Percentages, Annual Averages Based on 2015 and 2016 NSDUHs  ",,,,,,,,,,
"NOTE: Any mental illness (AMI) is defined as having a diagnosable mental, behavioral, or emotional disorder, other than a developmental or substance use disorder, assessed by the Mental Health Surveillance Study (MHSS) Structured Clinical Interview for the Diagnostic and Statistical Manual of Mental Disorders—Fourth Edition—Research Version—Axis I Disorders (MHSS-SCID), which is based on the 4th edition of the Diagnostic and Statistical Manual of Mental Disorders (DSM-IV). For details, see Section B of the ""2015-2016 NSDUH: Guide to State Tables and Summary of Small Area Estimation Methodology"" at https://www.samhsa.gov/data/.",,,,,,,,,,
"NOTE: State and census region estimates, along with the 95 percent Bayesian confidence (credible) intervals, are based on a survey-weighted hierarchical Bayes estimation approach and generated by Markov Chain Monte Carlo techniques. For the ""Total U.S."" row, design-based (direct) estimates and corresponding 95 percent confidence intervals are given.",,,,,,,,,,
"NOTE: The column labeled ""Order"" can be used to sort the data to the original sort order.",,,,,,,,,,
"Source: SAMHSA, Center for Behavioral Health Statistics and Quality, National Survey on Drug Use and Health, 2015 and 2016.",,,,,,,,,,
Order,State,"18 or Older Estimate","18 or Older 95% CI (Lower)","18 or Older 95% CI (Upper)","18-25 Estimate","18-25 95% CI (Lower)","18-25 95% CI (Upper)","26 or Older Estimate","26 or Older 95% CI (Lower)","26 or Older 95% CI (Upper)"
1,Total U.S.,18.07%,17.73%,18.42%,21.89%,21.33%,22.46%,17.44%,17.05%,17.83%
2,Northeast,17.86%,17.19%,18.56%,22.58%,21.49%,23.71%,17.10%,16.36%,17.87%
3,Midwest,18.01%,17.42%,18.62%,22.25%,21.32%,23.20%,17.30%,16.64%,17.98%
4,South,17.95%,17.44%,18.48%,20.50%,19.72%,21.31%,17.53%,16.96%,18.12%
5,West,18.48%,17.85%,19.12%,23.21%,22.11%,24.35%,17.67%,16.98%,18.38%
6,Alabama,18.47%,16.50%,20.61%,20.07%,17.43%,22.98%,18.20%,16.04%,20.59%
7,Alaska,20.01%,18.12%,22.05%,27.17%,23.90%,30.70%,18.70%,16.65%,20.94%
8,Arizona,17.52%,15.66%,19.55%,20.65%,17.90%,23.71%,16.99%,14.97%,19.22%
9,Arkansas,21.02%,18.85%,23.36%,22.88%,19.99%,26.05%,20.71%,18.33%,23.31%
10,California,17.15%,16.18%,18.16%,22.21%,20.51%,24.01%,16.26%,15.20%,17.39%
11,Colorado,20.05%,18.08%,22.17%,25.63%,22.30%,29.27%,19.11%,16.98%,21.44%
12,Connecticut,18.00%,16.01%,20.17%,23.48%,20.38%,26.90%,17.11%,14.95%,19.51%
13,Delaware,17.71%,15.81%,19.79%,21.60%,18.74%,24.76%,17.11%,15.04%,19.40%
