"Table 12. Alcohol Use in the Past Month, by Age Group and State: Percentages, Annual Averages Based on 2015 and 2016 NSDUHs  ",,,,,,,,,,,,,,,,
"NOTE: State and census region estimates, along with the 95 percent Bayesian confidence (credible) intervals, are based on a survey-weighted hierarchical Bayes estimation approach and generated by Markov Chain Monte Carlo techniques. For the ""Total U.S."" row, design-based (direct) estimates and corresponding 95 percent confidence intervals are given.",,,,,,,,,,,,,,,,
"NOTE: The column labeled ""Order"" can be used to sort the data to the original sort order.",,,,,,,,,,,,,,,,
"Source: SAMHSA, Center for Behavioral Health Statistics and Quality, National Survey on Drug Use and Health, 2015 and 2016.",,,,,,,,,,,,,,,,
Order,State,"12 or Older Estimate","12 or Older 95% CI (Lower)","12 or Older 95% CI (Upper)","12-17 Estimate","12-17 95% CI (Lower)","12-17 95% CI (Upper)","18-25 Estimate","18-25 95% CI (Lower)","18-25 95% CI (Upper)","26 or Older Estimate","26 or Older 95% CI (Lower)","26 or Older 95% CI (Upper)","18 or Older Estimate","18 or Older 95% CI (Lower)","18 or Older 95% CI (Upper)"
1,Total U.S.,51.21%,50.76%,51.66%,9.40%,8.99%,9.83%,57.75%,56.96%,58.52%,55.10%,54.56%,55.65%,55.48%,54.99%,55.97%
2,Northeast,56.02%,55.14%,56.90%,10.95%,10.18%,11.77%,63.92%,62.44%,65.38%,59.67%,58.59%,60.75%,60.27%,59.30%,61.23%
3,Midwest,54.36%,53.62%,55.10%,9.82%,9.18%,10.49%,61.60%,60.42%,62.76%,58.56%,57.65%,59.46%,59.00%,58.18%,59.81%
4,South,47.48%,46.85%,48.12%,8.71%,8.18%,9.27%,54.56%,53.45%,55.67%,51.03%,50.26%,51.79%,51.53%,50.83%,52.22%
5,West,50.67%,49.81%,51.53%,9.06%,8.35%,9.84%,54.76%,53.35%,56.16%,55.01%,53.95%,56.08%,54.98%,54.03%,55.92%
6,Alabama,40.79%,38.14%,43.51%,8.08%,6.46%,10.05%,50.76%,46.91%,54.60%,43.06%,39.80%,46.39%,44.16%,41.23%,47.13%
7,Alaska,52.72%,50.02%,55.41%,10.23%,8.24%,12.62%,58.93%,54.99%,62.75%,57.24%,53.86%,60.55%,57.50%,54.51%,60.43%
8,Arizona,50.94%,48.18%,53.69%,7.95%,6.33%,9.93%,54.01%,50.01%,57.95%,55.78%,52.35%,59.16%,55.53%,52.46%,58.54%
9,Arkansas,40.14%,37.39%,42.95%,8.93%,7.24%,10.97%,49.43%,45.68%,53.18%,42.45%,39.02%,45.96%,43.45%,40.41%,46.53%
10,California,49.74%,48.43%,51.05%,9.08%,7.95%,10.35%,54.10%,51.95%,56.24%,53.88%,52.24%,55.52%,53.91%,52.47%,55.35%
11,Colorado,57.53%,54.66%,60.35%,10.16%,8.28%,12.40%,63.75%,60.02%,67.32%,62.10%,58.54%,65.53%,62.33%,59.17%,65.40%
12,Connecticut,59.09%,56.06%,62.05%,11.21%,9.08%,13.77%,67.37%,63.46%,71.06%,63.34%,59.62%,66.92%,63.91%,60.57%,67.12%
13,Delaware,52.04%,49.13%,54.93%,9.05%,7.23%,11.27%,57.10%,53.34%,60.78%,55.96%,52.43%,59.43%,56.11%,52.93%,59.24%
14,District of Columbia,68.65%,66.11%,71.08%,9.70%,7.59%,12.33%,73.63%,70.22%,76.78%,71.64%,68.58%,74.52%,71.98%,69.30%,74.50%
15,Florida,53.43%,51.82%,55.04%,9.15%,7.91%,10.57%,57.50%,55.08%,59.88%,57.30%,55.34%,59.24%,57.33%,55.57%,59.06%
16,Georgia,45.88%,43.67%,48.11%,6.90%,5.57%,8.52%,53.90%,50.63%,57.15%,49.67%,46.92%,52.43%,50.30%,47.84%,52.75%
17,Hawaii,43.98%,41.16%,46.84%,9.10%,7.20%,11.44%,52.01%,48.03%,55.96%,46.44%,43.02%,49.88%,47.15%,44.08%,50.24%
18,Idaho,44.62%,41.95%,47.32%,8.93%,7.13%,11.12%,47.92%,44.05%,51.82%,49.13%,45.76%,52.50%,48.95%,45.97%,51.94%
19,Illinois,53.41%,51.62%,55.19%,9.66%,8.35%,11.16%,60.76%,58.10%,63.36%,57.53%,55.32%,59.72%,57.99%,56.02%,59.94%
20,Indiana,50.48%,47.66%,53.30%,9.32%,7.47%,11.58%,59.42%,55.69%,63.04%,54.18%,50.65%,57.67%,54.97%,51.84%,58.06%
21,Iowa,57.42%,54.67%,60.12%,9.42%,7.56%,11.68%,65.17%,61.45%,68.73%,61.86%,58.46%,65.15%,62.36%,59.33%,65.30%
22,Kansas,55.46%,52.82%,58.08%,10.27%,8.39%,12.52%,58.72%,54.88%,62.46%,60.83%,57.50%,64.07%,60.50%,57.57%,63.36%
23,Kentucky,40.94%,38.28%,43.64%,9.35%,7.52%,11.56%,50.84%,47.00%,54.68%,43.06%,39.81%,46.36%,44.16%,41.24%,47.11%
24,Louisiana,50.36%,47.59%,53.13%,10.55%,8.45%,13.09%,55.58%,51.79%,59.30%,54.42%,51.02%,57.79%,54.59%,51.54%,57.61%
25,Maine,56.97%,54.11%,59.79%,11.71%,9.60%,14.20%,64.86%,60.98%,68.55%,60.35%,56.90%,63.69%,60.89%,57.79%,63.90%
26,Maryland,55.88%,53.23%,58.51%,9.73%,7.83%,12.03%,62.32%,58.45%,66.04%,60.18%,56.92%,63.35%,60.47%,57.55%,63.32%
27,Massachusetts,59.17%,56.49%,61.80%,11.31%,9.14%,13.92%,69.57%,65.69%,73.18%,62.48%,59.20%,65.65%,63.53%,60.61%,66.36%
28,Michigan,53.24%,51.52%,54.96%,10.39%,9.02%,11.94%,59.58%,57.00%,62.11%,57.30%,55.14%,59.43%,57.63%,55.73%,59.51%
29,Minnesota,59.65%,56.96%,62.28%,10.38%,8.46%,12.69%,66.47%,62.73%,70.02%,64.42%,61.11%,67.61%,64.71%,61.74%,67.56%
30,Mississippi,36.94%,34.34%,39.63%,7.69%,6.13%,9.59%,46.68%,42.84%,50.57%,39.03%,35.79%,42.36%,40.18%,37.30%,43.13%
31,Missouri,51.39%,48.70%,54.07%,9.91%,8.04%,12.16%,59.04%,55.42%,62.55%,55.07%,51.76%,58.33%,55.63%,52.68%,58.55%
32,Montana,57.49%,54.74%,60.20%,11.05%,9.01%,13.49%,61.98%,58.15%,65.67%,61.82%,58.45%,65.08%,61.84%,58.84%,64.77%
33,Nebraska,58.92%,56.16%,61.62%,8.99%,7.17%,11.22%,62.44%,58.43%,66.29%,64.70%,61.24%,68.02%,64.36%,61.30%,67.31%
34,Nevada,50.92%,47.85%,53.98%,12.28%,9.88%,15.16%,53.25%,49.08%,57.38%,55.08%,51.34%,58.78%,54.85%,51.49%,58.17%
35,New Hampshire,63.54%,60.83%,66.16%,11.49%,9.30%,14.12%,69.23%,65.45%,72.78%,68.17%,64.83%,71.32%,68.31%,65.35%,71.13%
36,New Jersey,53.56%,51.18%,55.92%,10.55%,8.81%,12.58%,61.28%,57.92%,64.52%,57.40%,54.50%,60.26%,57.91%,55.30%,60.48%
37,New Mexico,48.47%,45.53%,51.42%,9.91%,8.01%,12.20%,54.35%,50.32%,58.32%,52.30%,48.63%,55.94%,52.59%,49.34%,55.82%
38,New York,54.65%,53.05%,56.25%,11.37%,9.93%,12.99%,62.60%,60.17%,64.96%,57.99%,56.02%,59.94%,58.65%,56.91%,60.37%
39,North Carolina,44.34%,42.17%,46.54%,7.25%,5.86%,8.95%,53.47%,50.25%,56.66%,47.32%,44.64%,50.02%,48.17%,45.78%,50.58%
40,North Dakota,59.98%,57.35%,62.54%,11.94%,9.79%,14.48%,68.68%,64.89%,72.24%,63.43%,60.18%,66.57%,64.37%,61.50%,67.13%
41,Ohio,51.90%,50.10%,53.68%,8.89%,7.57%,10.41%,59.93%,57.34%,62.48%,55.75%,53.53%,57.94%,56.33%,54.35%,58.29%
42,Oklahoma,42.34%,39.53%,45.21%,8.71%,6.99%,10.82%,51.94%,47.97%,55.88%,44.99%,41.50%,48.52%,46.02%,42.90%,49.18%
43,Oregon,58.72%,56.07%,61.32%,9.95%,8.03%,12.26%,62.80%,59.01%,66.44%,63.28%,60.08%,66.38%,63.22%,60.34%,66.02%
44,Pennsylvania,55.78%,54.02%,57.53%,10.02%,8.57%,11.68%,62.27%,59.66%,64.81%,59.72%,57.56%,61.84%,60.07%,58.14%,61.96%
45,Rhode Island,61.03%,58.07%,63.90%,12.10%,9.80%,14.86%,67.35%,63.50%,70.97%,65.05%,61.40%,68.54%,65.40%,62.19%,68.48%
46,South Carolina,45.36%,42.64%,48.11%,8.57%,6.85%,10.68%,56.53%,52.56%,60.41%,47.78%,44.49%,51.09%,48.99%,46.01%,51.97%
47,South Dakota,58.85%,56.09%,61.55%,10.66%,8.68%,13.02%,64.72%,60.95%,68.32%,63.76%,60.34%,67.04%,63.90%,60.86%,66.83%
48,Tennessee,42.83%,40.14%,45.56%,7.94%,6.24%,10.06%,49.58%,45.81%,53.35%,45.84%,42.56%,49.15%,46.36%,43.41%,49.33%
49,Texas,47.14%,45.73%,48.56%,8.86%,7.61%,10.29%,52.66%,50.25%,55.07%,51.58%,49.81%,53.34%,51.74%,50.17%,53.31%
50,Utah,29.83%,27.38%,32.40%,5.25%,3.75%,7.31%,37.41%,32.96%,42.09%,32.37%,29.22%,35.68%,33.29%,30.53%,36.18%
51,Vermont,60.17%,57.10%,63.16%,12.86%,10.63%,15.47%,69.00%,64.96%,72.77%,63.39%,59.66%,66.96%,64.22%,60.89%,67.43%
52,Virginia,52.02%,49.85%,54.19%,10.20%,8.54%,12.15%,61.60%,58.39%,64.72%,55.28%,52.63%,57.91%,56.17%,53.78%,58.53%
53,Washington,55.80%,52.88%,58.68%,8.86%,7.07%,11.05%,57.37%,53.66%,61.00%,60.80%,57.20%,64.29%,60.34%,57.13%,63.45%
54,West Virginia,40.71%,37.79%,43.70%,10.70%,8.72%,13.05%,54.37%,50.43%,58.26%,41.77%,38.24%,45.39%,43.39%,40.22%,46.62%
55,Wisconsin,60.86%,58.18%,63.47%,10.90%,8.82%,13.38%,68.59%,65.15%,71.83%,65.45%,62.14%,68.63%,65.90%,62.94%,68.74%
56,Wyoming,52.00%,48.96%,55.02%,9.73%,7.85%,12.00%,61.28%,57.22%,65.19%,55.45%,51.75%,59.09%,56.28%,52.94%,59.56%
