"Table 14. Perceptions of Great Risk from Having Five or More Drinks of an Alcoholic Beverage Once or Twice a Week, by Age Group and State: Percentages, Annual Averages Based on 2015 and 2016 NSDUHs  ",,,,,,,,,,,,,,,,
"NOTE: State and census region estimates, along with the 95 percent Bayesian confidence (credible) intervals, are based on a survey-weighted hierarchical Bayes estimation approach and generated by Markov Chain Monte Carlo techniques. For the ""Total U.S."" row, design-based (direct) estimates and corresponding 95 percent confidence intervals are given.",,,,,,,,,,,,,,,,
"NOTE: The column labeled ""Order"" can be used to sort the data to the original sort order.",,,,,,,,,,,,,,,,
"Source: SAMHSA, Center for Behavioral Health Statistics and Quality, National Survey on Drug Use and Health, 2015 and 2016.",,,,,,,,,,,,,,,,
Order,State,"12 or Older Estimate","12 or Older 95% CI (Lower)","12 or Older 95% CI (Upper)","12-17 Estimate","12-17 95% CI (Lower)","12-17 95% CI (Upper)","18-25 Estimate","18-25 95% CI (Lower)","18-25 95% CI (Upper)","26 or Older Estimate","26 or Older 95% CI (Lower)","26 or Older 95% CI (Upper)","18 or Older Estimate","18 or Older 95% CI (Lower)","18 or Older 95% CI (Upper)"
1,Total U.S.,44.30%,43.86%,44.75%,43.30%,42.59%,44.00%,36.91%,36.22%,37.61%,45.66%,45.12%,46.20%,44.41%,43.93%,44.89%
2,Northeast,43.01%,42.12%,43.91%,42.95%,41.61%,44.30%,34.19%,32.93%,35.48%,44.45%,43.38%,45.52%,43.02%,42.06%,43.98%
3,Midwest,39.62%,38.88%,40.36%,39.60%,38.52%,40.70%,32.12%,31.07%,33.19%,40.89%,39.98%,41.80%,39.62%,38.82%,40.42%
4,South,46.17%,45.53%,46.80%,45.48%,44.47%,46.49%,39.22%,38.24%,40.21%,47.40%,46.62%,48.18%,46.24%,45.55%,46.92%
5,West,46.52%,45.68%,47.36%,43.36%,42.04%,44.68%,39.56%,38.26%,40.88%,48.09%,47.06%,49.13%,46.84%,45.94%,47.75%
6,Alabama,46.56%,44.01%,49.14%,44.37%,40.50%,48.32%,39.94%,36.39%,43.60%,47.93%,44.85%,51.02%,46.79%,44.06%,49.54%
7,Alaska,41.66%,39.11%,44.26%,39.14%,35.38%,43.02%,34.77%,31.25%,38.46%,43.27%,40.21%,46.39%,41.95%,39.24%,44.71%
8,Arizona,47.83%,45.22%,50.46%,46.50%,42.75%,50.29%,38.70%,35.00%,42.53%,49.56%,46.42%,52.69%,47.98%,45.18%,50.79%
9,Arkansas,43.53%,40.87%,46.23%,44.59%,40.69%,48.56%,35.27%,31.60%,39.13%,44.78%,41.64%,47.96%,43.42%,40.59%,46.28%
10,California,48.89%,47.64%,50.15%,43.97%,41.83%,46.13%,41.87%,39.81%,43.97%,50.72%,49.17%,52.26%,49.40%,48.04%,50.76%
11,Colorado,41.73%,39.11%,44.39%,40.90%,37.15%,44.76%,32.12%,28.49%,35.97%,43.44%,40.32%,46.61%,41.81%,39.00%,44.67%
12,Connecticut,42.93%,40.16%,45.75%,43.21%,39.39%,47.11%,32.40%,28.77%,36.25%,44.61%,41.35%,47.93%,42.90%,39.95%,45.90%
13,Delaware,43.71%,40.99%,46.46%,44.38%,40.61%,48.21%,38.74%,35.08%,42.53%,44.40%,41.19%,47.65%,43.64%,40.75%,46.58%
14,District of Columbia,41.99%,39.46%,44.56%,46.20%,42.06%,50.39%,34.34%,30.75%,38.11%,43.29%,40.36%,46.28%,41.75%,39.14%,44.41%
15,Florida,47.14%,45.52%,48.77%,45.02%,42.72%,47.35%,40.64%,38.42%,42.90%,48.27%,46.35%,50.20%,47.33%,45.60%,49.07%
16,Georgia,46.14%,44.02%,48.28%,49.66%,46.44%,52.88%,41.67%,38.55%,44.86%,46.45%,43.87%,49.06%,45.74%,43.47%,48.04%
17,Hawaii,48.02%,45.35%,50.70%,47.04%,43.17%,50.96%,40.79%,37.03%,44.67%,49.18%,46.04%,52.32%,48.11%,45.27%,50.96%
18,Idaho,43.68%,41.16%,46.23%,42.91%,39.21%,46.68%,38.21%,34.44%,42.13%,44.72%,41.72%,47.75%,43.77%,41.06%,46.52%
19,Illinois,43.73%,41.96%,45.52%,41.10%,38.53%,43.71%,34.37%,31.92%,36.90%,45.60%,43.46%,47.76%,44.01%,42.10%,45.93%
