"Table 24. Needing But Not Receiving Treatment at a Specialty Facility for Alcohol Use in the Past Year, by Age Group and State: Percentages, Annual Averages Based on 2015 and 2016 NSDUHs  ",,,,,,,,,,,,,,,,
"NOTE: Respondents were classified as needing treatment for an alcohol problem if they met the criteria for an alcohol use disorder as defined in the 4th edition of the Diagnostic and Statistical Manual of Mental Disorders (DSM-IV) or received treatment for alcohol use at a specialty facility (i.e., drug and alcohol rehabilitation facility [inpatient or outpatient], hospital [inpatient only], or mental health center). ",,,,,,,,,,,,,,,,
"NOTE: State and census region estimates, along with the 95 percent Bayesian confidence (credible) intervals, are based on a survey-weighted hierarchical Bayes estimation approach and generated by Markov Chain Monte Carlo techniques. For the ""Total U.S."" row, design-based (direct) estimates and corresponding 95 percent confidence intervals are given.",,,,,,,,,,,,,,,,
"NOTE: The column labeled ""Order"" can be used to sort the data to the original sort order.",,,,,,,,,,,,,,,,
"Source: SAMHSA, Center for Behavioral Health Statistics and Quality, National Survey on Drug Use and Health, 2015 and 2016.",,,,,,,,,,,,,,,,
Order,State,"12 or Older Estimate","12 or Older 95% CI (Lower)","12 or Older 95% CI (Upper)","12-17 Estimate","12-17 95% CI (Lower)","12-17 95% CI (Upper)","18-25 Estimate","18-25 95% CI (Lower)","18-25 95% CI (Upper)","26 or Older Estimate","26 or Older 95% CI (Lower)","26 or Older 95% CI (Upper)","18 or Older Estimate","18 or Older 95% CI (Lower)","18 or Older 95% CI (Upper)"
1,Total U.S.,5.48%,5.30%,5.66%,2.15%,1.95%,2.36%,10.47%,10.02%,10.94%,5.05%,4.84%,5.26%,5.82%,5.63%,6.01%
2,Northeast,5.68%,5.34%,6.04%,2.17%,1.88%,2.50%,11.16%,10.40%,11.97%,5.17%,4.77%,5.61%,6.01%,5.64%,6.40%
3,Midwest,5.58%,5.29%,5.89%,2.20%,1.95%,2.48%,10.64%,10.03%,11.27%,5.14%,4.79%,5.52%,5.93%,5.62%,6.27%
4,South,5.01%,4.76%,5.26%,2.06%,1.83%,2.31%,9.67%,9.12%,10.24%,4.60%,4.30%,4.91%,5.31%,5.05%,5.59%
5,West,5.99%,5.64%,6.36%,2.23%,1.93%,2.57%,11.06%,10.26%,11.91%,5.58%,5.16%,6.02%,6.38%,6.00%,6.78%
6,Alabama,4.03%,3.35%,4.83%,1.79%,1.27%,2.51%,8.70%,7.17%,10.52%,3.52%,2.74%,4.51%,4.26%,3.53%,5.13%
7,Alaska,6.54%,5.52%,7.74%,2.28%,1.64%,3.16%,10.06%,8.28%,12.17%,6.47%,5.21%,8.00%,7.02%,5.90%,8.33%
8,Arizona,5.09%,4.30%,6.01%,2.24%,1.63%,3.08%,11.54%,9.53%,13.91%,4.35%,3.45%,5.48%,5.39%,4.54%,6.39%
9,Arkansas,4.41%,3.72%,5.23%,2.09%,1.53%,2.85%,9.21%,7.63%,11.08%,3.90%,3.09%,4.91%,4.66%,3.91%,5.54%
10,California,6.25%,5.70%,6.85%,2.16%,1.70%,2.73%,11.17%,9.91%,12.57%,5.88%,5.23%,6.61%,6.67%,6.07%,7.32%
11,Colorado,6.48%,5.48%,7.64%,2.44%,1.78%,3.35%,11.59%,9.67%,13.84%,6.10%,4.90%,7.56%,6.89%,5.80%,8.15%
12,Connecticut,6.45%,5.40%,7.68%,2.62%,1.87%,3.65%,10.72%,8.83%,12.95%,6.20%,4.95%,7.74%,6.83%,5.70%,8.17%
13,Delaware,5.73%,4.79%,6.83%,1.96%,1.44%,2.68%,10.68%,8.92%,12.74%,5.38%,4.27%,6.75%,6.09%,5.07%,7.28%
14,District of Columbia,8.03%,6.87%,9.37%,1.78%,1.22%,2.57%,14.29%,11.97%,16.97%,7.16%,5.81%,8.80%,8.38%,7.16%,9.79%
15,Florida,5.23%,4.63%,5.90%,2.14%,1.69%,2.70%,9.56%,8.40%,10.86%,4.93%,4.23%,5.74%,5.50%,4.85%,6.22%
16,Georgia,4.33%,3.68%,5.08%,1.81%,1.35%,2.42%,8.81%,7.35%,10.53%,3.89%,3.13%,4.82%,4.61%,3.90%,5.44%
17,Hawaii,4.85%,4.04%,5.81%,2.12%,1.45%,3.08%,10.86%,8.86%,13.25%,4.26%,3.34%,5.42%,5.10%,4.23%,6.13%
18,Idaho,5.21%,4.38%,6.19%,2.47%,1.79%,3.41%,9.48%,7.90%,11.34%,4.88%,3.89%,6.11%,5.55%,4.64%,6.62%
19,Illinois,5.44%,4.80%,6.16%,2.18%,1.71%,2.77%,10.60%,9.22%,12.15%,4.99%,4.24%,5.86%,5.78%,5.09%,6.56%
20,Indiana,5.00%,4.21%,5.93%,2.09%,1.51%,2.90%,10.11%,8.42%,12.09%,4.47%,3.54%,5.63%,5.32%,4.46%,6.33%
21,Iowa,6.28%,5.28%,7.46%,2.31%,1.71%,3.12%,11.06%,9.21%,13.23%,5.91%,4.70%,7.40%,6.69%,5.61%,7.97%
22,Kansas,4.96%,4.21%,5.84%,2.39%,1.74%,3.26%,11.74%,9.81%,14.00%,4.07%,3.21%,5.14%,5.25%,4.43%,6.20%
23,Kentucky,4.80%,4.00%,5.75%,2.06%,1.47%,2.88%,8.81%,7.25%,10.67%,4.47%,3.54%,5.64%,5.08%,4.22%,6.11%
24,Louisiana,5.99%,4.97%,7.20%,2.50%,1.76%,3.55%,8.87%,7.22%,10.86%,5.93%,4.70%,7.46%,6.36%,5.26%,7.67%
25,Maine,5.44%,4.50%,6.56%,2.39%,1.70%,3.36%,10.10%,8.28%,12.26%,5.11%,4.02%,6.47%,5.70%,4.70%,6.90%
26,Maryland,5.66%,4.78%,6.68%,1.85%,1.31%,2.59%,12.06%,10.00%,14.48%,5.09%,4.10%,6.32%,6.04%,5.09%,7.14%
27,Massachusetts,6.90%,5.84%,8.14%,2.33%,1.68%,3.23%,12.23%,10.16%,14.66%,6.46%,5.21%,7.99%,7.31%,6.17%,8.65%
28,Michigan,5.44%,4.78%,6.19%,2.32%,1.82%,2.96%,9.63%,8.37%,11.05%,5.10%,4.31%,6.04%,5.76%,5.04%,6.58%
29,Minnesota,5.48%,4.58%,6.55%,1.99%,1.42%,2.80%,11.64%,9.70%,13.91%,4.91%,3.88%,6.21%,5.84%,4.87%,6.99%
30,Mississippi,4.31%,3.59%,5.18%,1.74%,1.24%,2.42%,7.89%,6.39%,9.71%,4.01%,3.15%,5.10%,4.60%,3.81%,5.54%
31,Missouri,5.36%,4.51%,6.35%,2.20%,1.61%,3.01%,10.64%,8.84%,12.76%,4.86%,3.86%,6.09%,5.68%,4.76%,6.76%
