"Table 25. Needing But Not Receiving Treatment at a Specialty Facility for Substance Use in the Past Year, by Age Group and State: Percentages, Annual Averages Based on 2015 and 2016 NSDUHs  ",,,,,,,,,,,,,,,,
"NOTE: Respondents were classified as needing treatment for a substance use problem if they met the criteria for a substance use disorder as defined in the 4th edition of the Diagnostic and Statistical Manual of Mental Disorders (DSM-IV) or received treatment for illicit drug or alcohol use at a specialty facility (i.e., drug and alcohol rehabilitation facility [inpatient or outpatient], hospital [inpatient only], or mental health center). Illicit Drug Use includes the misuse of prescription psychotherapeutics or the use of marijuana, cocaine (including crack), heroin, hallucinogens, inhalants, or methamphetamine. Misuse of prescription psychotherapeutics is defined as use in any way not directed by a doctor, including use without a prescription of one's own; use in greater amounts, more often, or longer than told; or use in any other way not directed by a doctor. Prescription psychotherapeutics do not include over-the-counter drugs.",,,,,,,,,,,,,,,,
"NOTE: State and census region estimates, along with the 95 percent Bayesian confidence (credible) intervals, are based on a survey-weighted hierarchical Bayes estimation approach and generated by Markov Chain Monte Carlo techniques. For the ""Total U.S."" row, design-based (direct) estimates and corresponding 95 percent confidence intervals are given.",,,,,,,,,,,,,,,,
"NOTE: The column labeled ""Order"" can be used to sort the data to the original sort order.",,,,,,,,,,,,,,,,
"Source: SAMHSA, Center for Behavioral Health Statistics and Quality, National Survey on Drug Use and Health, 2015 and 2016.",,,,,,,,,,,,,,,,
Order,State,"12 or Older Estimate","12 or Older 95% CI (Lower)","12 or Older 95% CI (Upper)","12-17 Estimate","12-17 95% CI (Lower)","12-17 95% CI (Upper)","18-25 Estimate","18-25 95% CI (Lower)","18-25 95% CI (Upper)","26 or Older Estimate","26 or Older 95% CI (Lower)","26 or Older 95% CI (Upper)","18 or Older Estimate","18 or Older 95% CI (Lower)","18 or Older 95% CI (Upper)"
1,Total U.S.,7.08%,6.89%,7.28%,4.38%,4.11%,4.66%,14.34%,13.82%,14.88%,6.20%,5.98%,6.43%,7.36%,7.15%,7.57%
2,Northeast,7.20%,6.80%,7.63%,4.09%,3.66%,4.58%,15.59%,14.62%,16.61%,6.19%,5.73%,6.67%,7.50%,7.06%,7.95%
3,Midwest,7.14%,6.80%,7.50%,4.40%,4.03%,4.81%,14.75%,13.97%,15.56%,6.20%,5.80%,6.63%,7.43%,7.06%,7.82%
4,South,6.50%,6.21%,6.80%,4.03%,3.68%,4.40%,13.38%,12.70%,14.09%,5.67%,5.33%,6.02%,6.76%,6.45%,7.08%
5,West,7.87%,7.46%,8.30%,5.13%,4.60%,5.72%,14.56%,13.64%,15.53%,7.06%,6.58%,7.58%,8.15%,7.71%,8.62%
6,Alabama,5.86%,4.93%,6.94%,3.42%,2.60%,4.49%,13.08%,10.88%,15.64%,4.96%,3.96%,6.19%,6.11%,5.12%,7.28%
7,Alaska,8.78%,7.54%,10.21%,5.83%,4.56%,7.43%,13.59%,11.28%,16.30%,8.30%,6.87%,9.99%,9.12%,7.77%,10.66%
8,Arizona,7.30%,6.19%,8.59%,5.23%,4.08%,6.67%,15.59%,13.08%,18.47%,6.15%,4.95%,7.63%,7.52%,6.33%,8.91%
9,Arkansas,6.03%,5.07%,7.17%,3.89%,3.01%,5.03%,13.06%,10.78%,15.74%,5.13%,4.09%,6.41%,6.26%,5.22%,7.48%
10,California,8.09%,7.43%,8.79%,5.08%,4.30%,5.99%,14.40%,12.97%,15.96%,7.35%,6.58%,8.19%,8.40%,7.69%,9.16%
11,Colorado,8.27%,7.01%,9.73%,5.49%,4.32%,6.96%,16.35%,13.75%,19.33%,7.24%,5.88%,8.89%,8.55%,7.20%,10.12%
