"Table 18. Perceptions of Great Risk from Smoking One or More Packs of Cigarettes per Day, by Age Group and State: Percentages, Annual Averages Based on 2015 and 2016 NSDUHs  ",,,,,,,,,,,,,,,,
"NOTE: State and census region estimates, along with the 95 percent Bayesian confidence (credible) intervals, are based on a survey-weighted hierarchical Bayes estimation approach and generated by Markov Chain Monte Carlo techniques. For the ""Total U.S."" row, design-based (direct) estimates and corresponding 95 percent confidence intervals are given.",,,,,,,,,,,,,,,,
"NOTE: The column labeled ""Order"" can be used to sort the data to the original sort order.",,,,,,,,,,,,,,,,
"Source: SAMHSA, Center for Behavioral Health Statistics and Quality, National Survey on Drug Use and Health, 2015 and 2016.",,,,,,,,,,,,,,,,
Order,State,"12 or Older Estimate","12 or Older 95% CI (Lower)","12 or Older 95% CI (Upper)","12-17 Estimate","12-17 95% CI (Lower)","12-17 95% CI (Upper)","18-25 Estimate","18-25 95% CI (Lower)","18-25 95% CI (Upper)","26 or Older Estimate","26 or Older 95% CI (Lower)","26 or Older 95% CI (Upper)","18 or Older Estimate","18 or Older 95% CI (Lower)","18 or Older 95% CI (Upper)"
1,Total U.S.,72.80%,72.43%,73.18%,68.71%,68.06%,69.35%,68.29%,67.66%,68.90%,74.04%,73.58%,74.49%,73.22%,72.81%,73.63%
2,Northeast,74.59%,73.86%,75.31%,71.53%,70.25%,72.78%,69.57%,68.35%,70.77%,75.74%,74.84%,76.61%,74.88%,74.08%,75.65%
3,Midwest,68.94%,68.24%,69.62%,67.33%,66.18%,68.45%,65.05%,63.99%,66.08%,69.78%,68.93%,70.63%,69.10%,68.35%,69.85%
4,South,72.41%,71.88%,72.93%,67.79%,66.84%,68.72%,67.64%,66.75%,68.53%,73.75%,73.10%,74.39%,72.88%,72.31%,73.45%
5,West,75.55%,74.86%,76.22%,69.47%,68.19%,70.73%,71.20%,70.01%,72.36%,77.03%,76.19%,77.84%,76.17%,75.43%,76.90%
6,Alabama,70.28%,67.97%,72.50%,67.98%,64.35%,71.41%,63.96%,60.43%,67.35%,71.60%,68.78%,74.26%,70.52%,68.01%,72.90%
7,Alaska,70.37%,68.02%,72.60%,60.68%,56.33%,64.87%,66.46%,62.88%,69.86%,72.37%,69.47%,75.09%,71.45%,68.93%,73.85%
8,Arizona,73.79%,71.56%,75.90%,69.14%,65.51%,72.54%,68.63%,65.16%,71.89%,75.24%,72.49%,77.80%,74.28%,71.86%,76.56%
9,Arkansas,69.81%,67.32%,72.19%,66.84%,63.21%,70.28%,66.58%,63.15%,69.83%,70.72%,67.66%,73.60%,70.12%,67.43%,72.69%
10,California,78.22%,77.17%,79.24%,70.69%,68.63%,72.67%,74.37%,72.49%,76.16%,79.81%,78.51%,81.04%,78.99%,77.85%,80.09%
11,Colorado,73.90%,71.68%,76.01%,68.48%,64.82%,71.92%,67.13%,63.51%,70.57%,75.68%,72.99%,78.17%,74.45%,72.06%,76.70%
12,Connecticut,75.07%,72.61%,77.39%,71.27%,67.67%,74.61%,70.14%,66.76%,73.31%,76.32%,73.28%,79.11%,75.45%,72.78%,77.94%
13,Delaware,71.98%,69.50%,74.33%,68.02%,64.38%,71.44%,70.32%,66.99%,73.44%,72.66%,69.65%,75.48%,72.35%,69.68%,74.87%
14,District of Columbia,76.92%,74.80%,78.91%,62.78%,58.83%,66.56%,72.67%,69.32%,75.78%,78.75%,76.23%,81.08%,77.71%,75.49%,79.77%
15,Florida,77.23%,75.90%,78.50%,71.33%,69.22%,73.35%,71.73%,69.65%,73.72%,78.59%,76.99%,80.10%,77.74%,76.31%,79.11%
16,Georgia,72.33%,70.48%,74.10%,68.70%,65.74%,71.51%,66.87%,63.90%,69.72%,73.75%,71.47%,75.91%,72.74%,70.72%,74.67%
17,Hawaii,72.51%,70.07%,74.83%,65.84%,61.87%,69.61%,66.99%,63.32%,70.47%,74.01%,71.07%,76.75%,73.11%,70.49%,75.58%
18,Idaho,71.86%,69.64%,73.99%,67.70%,64.07%,71.14%,66.60%,63.12%,69.91%,73.34%,70.58%,75.94%,72.37%,69.96%,74.66%
19,Illinois,72.98%,71.41%,74.49%,68.62%,66.22%,70.93%,68.93%,66.44%,71.30%,74.17%,72.27%,75.99%,73.43%,71.73%,75.07%
20,Indiana,68.61%,66.21%,70.91%,65.98%,62.22%,69.55%,63.33%,59.80%,66.72%,69.88%,66.88%,72.71%,68.89%,66.27%,71.40%
21,Iowa,65.76%,63.24%,68.20%,65.75%,61.99%,69.32%,61.23%,57.58%,64.75%,66.58%,63.44%,69.58%,65.76%,63.02%,68.40%
22,Kansas,66.96%,64.55%,69.29%,69.13%,65.53%,72.51%,64.46%,60.85%,67.91%,67.13%,64.09%,70.04%,66.72%,64.07%,69.26%
23,Kentucky,64.61%,62.05%,67.08%,63.55%,59.72%,67.21%,60.10%,56.23%,63.84%,65.47%,62.35%,68.46%,64.71%,61.95%,67.38%
24,Louisiana,68.68%,66.30%,70.96%,66.19%,62.64%,69.56%,66.72%,63.21%,70.06%,69.32%,66.36%,72.13%,68.94%,66.36%,71.41%
25,Maine,70.93%,68.42%,73.31%,68.94%,65.40%,72.27%,63.64%,59.94%,67.19%,72.10%,69.12%,74.89%,71.09%,68.41%,73.64%
26,Maryland,76.56%,74.51%,78.49%,71.55%,67.96%,74.89%,71.31%,67.91%,74.47%,77.96%,75.50%,80.23%,77.06%,74.85%,79.12%
27,Massachusetts,74.23%,72.00%,76.33%,71.04%,67.36%,74.45%,69.56%,66.14%,72.78%,75.38%,72.69%,77.88%,74.51%,72.13%,76.75%
28,Michigan,69.54%,67.92%,71.11%,67.15%,64.61%,69.60%,65.65%,63.29%,67.93%,70.48%,68.47%,72.42%,69.78%,68.03%,71.47%
29,Minnesota,69.80%,67.47%,72.03%,69.10%,65.38%,72.58%,64.97%,61.50%,68.29%,70.65%,67.82%,73.33%,69.87%,67.35%,72.27%
30,Mississippi,69.46%,67.07%,71.75%,61.76%,57.87%,65.51%,66.44%,62.92%,69.79%,71.01%,68.03%,73.82%,70.31%,67.69%,72.81%
31,Missouri,65.96%,63.47%,68.38%,66.37%,62.51%,70.01%,61.94%,58.40%,65.36%,66.58%,63.50%,69.52%,65.92%,63.21%,68.53%
32,Montana,70.08%,67.69%,72.37%,65.01%,61.34%,68.51%,63.43%,59.81%,66.91%,71.72%,68.76%,74.50%,70.56%,67.99%,73.00%
33,Nebraska,67.12%,64.52%,69.61%,66.44%,62.69%,69.98%,64.42%,60.74%,67.94%,67.69%,64.49%,70.73%,67.19%,64.39%,69.87%
34,Nevada,73.54%,71.11%,75.83%,65.70%,61.97%,69.24%,70.94%,67.42%,74.23%,74.84%,71.87%,77.60%,74.33%,71.69%,76.81%
35,New Hampshire,72.62%,70.30%,74.83%,71.36%,67.88%,74.61%,66.68%,63.15%,70.03%,73.69%,70.83%,76.36%,72.74%,70.23%,75.11%
36,New Jersey,77.37%,75.58%,79.08%,73.43%,70.57%,76.10%,70.18%,67.10%,73.09%,78.91%,76.72%,80.94%,77.77%,75.82%,79.60%
37,New Mexico,72.69%,70.37%,74.90%,64.28%,60.46%,67.93%,65.75%,62.24%,69.09%,74.91%,72.02%,77.59%,73.59%,71.05%,75.98%
38,New York,76.70%,75.38%,77.96%,72.36%,70.08%,74.54%,71.13%,68.93%,73.22%,78.09%,76.50%,79.61%,77.09%,75.69%,78.44%
39,North Carolina,70.91%,69.00%,72.75%,67.29%,64.14%,70.29%,65.74%,62.74%,68.63%,72.18%,69.83%,74.41%,71.29%,69.21%,73.28%
40,North Dakota,66.95%,64.47%,69.35%,67.22%,63.57%,70.67%,65.86%,62.35%,69.21%,67.16%,64.03%,70.15%,66.92%,64.25%,69.49%
41,Ohio,66.81%,65.20%,68.38%,66.27%,63.69%,68.77%,63.56%,61.04%,66.02%,67.39%,65.42%,69.30%,66.86%,65.11%,68.56%
42,Oklahoma,67.71%,65.19%,70.12%,62.04%,58.17%,65.76%,64.26%,60.57%,67.79%,69.04%,65.90%,72.01%,68.32%,65.58%,70.94%
43,Oregon,71.66%,69.32%,73.90%,69.76%,66.17%,73.13%,64.90%,61.32%,68.33%,72.89%,70.04%,75.57%,71.84%,69.31%,74.23%
44,Pennsylvania,70.22%,68.62%,71.78%,69.84%,67.33%,72.25%,67.52%,65.09%,69.85%,70.68%,68.72%,72.58%,70.25%,68.53%,71.92%
45,Rhode Island,74.94%,72.61%,77.14%,68.14%,64.34%,71.71%,69.71%,66.32%,72.90%,76.61%,73.75%,79.24%,75.54%,73.04%,77.88%
46,South Carolina,70.58%,68.28%,72.77%,66.20%,62.58%,69.63%,66.17%,62.57%,69.59%,71.78%,69.01%,74.39%,71.00%,68.53%,73.36%
47,South Dakota,67.58%,65.18%,69.90%,64.95%,61.19%,68.54%,62.21%,58.54%,65.75%,68.84%,65.85%,71.69%,67.86%,65.23%,70.38%
48,Tennessee,69.41%,66.98%,71.75%,66.21%,62.32%,69.90%,64.53%,61.12%,67.80%,70.58%,67.60%,73.40%,69.74%,67.10%,72.24%
49,Texas,73.49%,72.22%,74.72%,67.55%,65.25%,69.76%,68.97%,66.83%,71.04%,75.16%,73.59%,76.67%,74.20%,72.82%,75.53%
50,Utah,75.31%,73.17%,77.34%,73.13%,69.50%,76.48%,70.97%,67.39%,74.31%,76.69%,74.00%,79.18%,75.62%,73.28%,77.83%
51,Vermont,70.78%,68.38%,73.08%,69.26%,65.74%,72.57%,66.16%,62.36%,69.77%,71.74%,68.82%,74.49%,70.91%,68.33%,73.36%
52,Virginia,71.96%,70.05%,73.79%,69.07%,66.08%,71.90%,67.81%,64.75%,70.72%,72.97%,70.67%,75.15%,72.24%,70.19%,74.21%
53,Washington,71.37%,68.97%,73.65%,67.88%,64.34%,71.23%,67.87%,64.41%,71.13%,72.31%,69.39%,75.06%,71.70%,69.11%,74.16%
54,West Virginia,65.62%,63.00%,68.15%,65.59%,61.97%,69.04%,60.25%,56.71%,63.69%,66.41%,63.23%,69.45%,65.62%,62.79%,68.34%
55,Wisconsin,69.60%,67.15%,71.94%,68.35%,64.76%,71.73%,66.71%,63.35%,69.91%,70.22%,67.24%,73.05%,69.72%,67.07%,72.25%
56,Wyoming,66.52%,63.93%,69.02%,64.36%,60.31%,68.20%,64.20%,60.60%,67.65%,67.16%,64.03%,70.15%,66.74%,63.96%,69.41%
