"Table 3. Marijuana Use in the Past Month, by Age Group and State: Percentages, Annual Averages Based on 2015 and 2016 NSDUHs  ",,,,,,,,,,,,,,,,
"NOTE: State and census region estimates, along with the 95 percent Bayesian confidence (credible) intervals, are based on a survey-weighted hierarchical Bayes estimation approach and generated by Markov Chain Monte Carlo techniques. For the ""Total U.S."" row, design-based (direct) estimates and corresponding 95 percent confidence intervals are given.",,,,,,,,,,,,,,,,
"NOTE: The column labeled ""Order"" can be used to sort the data to the original sort order.",,,,,,,,,,,,,,,,
"Source: SAMHSA, Center for Behavioral Health Statistics and Quality, National Survey on Drug Use and Health, 2015 and 2016.",,,,,,,,,,,,,,,,
Order,State,"12 or Older Estimate","12 or Older 95% CI (Lower)","12 or Older 95% CI (Upper)","12-17 Estimate","12-17 95% CI (Lower)","12-17 95% CI (Upper)","18-25 Estimate","18-25 95% CI (Lower)","18-25 95% CI (Upper)","26 or Older Estimate","26 or Older 95% CI (Lower)","26 or Older 95% CI (Upper)","18 or Older Estimate","18 or Older 95% CI (Lower)","18 or Older 95% CI (Upper)"
1,Total U.S.,8.60%,8.38%,8.83%,6.75%,6.43%,7.09%,20.30%,19.71%,20.90%,6.88%,6.64%,7.13%,8.79%,8.55%,9.04%
2,Northeast,9.50%,9.03%,9.98%,7.15%,6.51%,7.84%,23.64%,22.44%,24.87%,7.46%,6.94%,8.02%,9.72%,9.22%,10.24%
3,Midwest,8.28%,7.91%,8.68%,6.69%,6.19%,7.22%,19.28%,18.35%,20.24%,6.63%,6.20%,7.08%,8.45%,8.04%,8.87%
4,South,7.05%,6.73%,7.38%,6.13%,5.68%,6.62%,17.74%,16.99%,18.52%,5.40%,5.05%,5.78%,7.14%,6.81%,7.50%
5,West,10.68%,10.19%,11.20%,7.52%,6.87%,8.23%,22.73%,21.54%,23.96%,9.01%,8.44%,9.62%,11.01%,10.48%,11.57%
6,Alabama,5.25%,4.34%,6.33%,5.20%,4.05%,6.67%,14.25%,11.87%,17.02%,3.77%,2.86%,4.94%,5.25%,4.30%,6.40%
7,Alaska,16.03%,14.10%,18.18%,10.43%,8.38%,12.91%,27.65%,24.17%,31.43%,14.65%,12.39%,17.24%,16.66%,14.58%,18.99%
8,Arizona,7.42%,6.23%,8.80%,6.75%,5.34%,8.50%,17.81%,14.96%,21.06%,5.74%,4.54%,7.22%,7.49%,6.24%,8.96%
9,Arkansas,6.98%,5.84%,8.33%,5.59%,4.35%,7.15%,15.49%,12.91%,18.47%,5.74%,4.53%,7.26%,7.13%,5.91%,8.58%
10,California,10.51%,9.78%,11.29%,7.33%,6.37%,8.43%,23.09%,21.24%,25.06%,8.70%,7.87%,9.60%,10.84%,10.05%,11.67%
11,Colorado,15.92%,14.09%,17.94%,9.08%,7.26%,11.29%,32.20%,28.16%,36.52%,14.00%,11.93%,16.38%,16.62%,14.64%,18.81%
